Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
Learning Jira Software,"Software development is a special type of work and great tools are needed to do it well. Jira Software’s features extend Jira so development teams can implement feature requests, track progress, fix bugs, and manage their work from requirements gathering to deployment. In this course, Rachel Wright covers: How Jira Software extends Jira with development-specific features; ways to leverage backlogs, sprints, and fix versions;  how to use different software project types; the differences between company-managed and team-managed projects; how to leverage filters and filter subscriptions; how to create your own custom boards and dashboards; and more. Rachel also presents several challenges and solutions, so you can practice what you learn as you follow along.",Course,2023-02-28 19:18 UTC,N/A,false,N/A,
Expert Tips for Answering Common Interview Questions,"There are certain questions that interviewers volley at nearly all interviewees—regardless of the position or industry—in an attempt to get a read on their personality and potential. Whether you're vying for a gig as an IT specialist or sales manager, you'll likely be asked about your strengths and weaknesses, your leadership style, and other basic professional attributes. In this collection of bite-sized videos, get expert tips that can help you confidently tackle these and other common questions—and, ultimately, ace your next job interview. Plus, get insights on how to dress for your interview, project confidence with your body language, negotiate your salary, and more.",Course,2020-04-15 17:40 UTC,N/A,false,N/A,
R Essential Training Part 2: Modeling Data,"Trying to locate meaning and direction in big data is difficult. R can help you find your way. R is a statistical programming language to analyze and visualize the relationships between large amounts of data. It's one of the most important tools available for data analysis, machine learning, and data science. This training series provides a thorough introduction to R, with detailed instruction for working with R and RStudio and hands-on examples, from exploratory graphics to neural networks. In part two, <i>Modeling Data</i>, instructor Barton Poulson shows how to compute statistics, analyze data, predict outcomes, and group and classify cases. These are the fundamental techniques you need to generate meaningful insights for your organization.",Course,2020-10-06 05:39 UTC,N/A,false,N/A,
Advanced Microsoft Power BI (2018),"<div><a href=""https://www.linkedin.com/newsletters/6827804190581039104?trk=lil-course-description"" target=""_blank"" class=""artdeco-button artdeco-button--1"">View Helen's LinkedIn Newsletter</a></div><br>Data visualization allows you to represent information digitally and graphically, to convey the results of data analysis. Microsoft Power BI is a suite of business analytics tools that help you gain insights from your data. The suite brings together familiar operations from well-known products—including Excel, Access, Power Query, and Power Pivot—to help you quickly get move the basics and on to comprehensive analysis. In this course, Helen Wall guides you through the advanced capabilities of the service. She shows how to work with calculations, leverage the DAX language, create advanced queries, and use the M language to improve the querying process. She demonstrates how to import data from various sources, compose advanced formulas, manage the fields and columns in tables, use X-factor functions, use conditional statements, filter results, design charts, and more.",Course,2020-10-08 17:43 UTC,N/A,false,N/A,
Nano Tips to Foster a Growth Mindset and Mental Agility with Shadé Zahrai,"<p>Welcome to our Nano Tips series, where LinkedIn Learning creators deliver impactful lessons in literally seconds.</p>

<p>In this installment award-winning leadership strategist and peak performance specialist Shadé Zahrai shows you how you can succeed professionally and in life using a growth mindset and mental agility.</p>

<p>Shadé explains how to master your inner dialogue by tapping into the power of “yet”, shifting your focus to possibility, and using language for growth. She covers ways to overcome obstacles through changing your perspective on failure, emphasizing growth over speed, and detaching from external approval. Plus, Shadé gives you several practical tips on how you can apply a growth mindset toward others in how you respond to compliments and how you give and receive feedback.</p>
 
<p>This course was created by Shadé Zahrai. We are pleased to host this training in our library.</p>",Course,2023-03-29 13:34 UTC,N/A,false,N/A,
Data Wrangling in R (2017),"Tidy data is a data format that provides a standardized way of organizing data values within a dataset. By leveraging tidy data principles, statisticians, analysts, and data scientists can spend less time cleaning data and more time tackling the more compelling aspects of data analysis. In this course, learn about the principles of tidy data, and discover how to create and manipulate data tibbles—transforming them from source data into tidy formats. Instructor Mike Chapple uses the R programming language and the tidyverse packages to teach the concept of data wrangling—the data cleaning and data transformation tasks that consume a substantial portion of analysts' time. He wraps up with three hands-on case studies that help to reinforce the data wrangling principles and tactics covered in this course.",Course,2020-05-16 17:59 UTC,N/A,false,N/A,
Excel: Lookup Functions in Depth,"Microsoft Excel offers a variety of powerful lookup functions that allow you to easily retrieve information across spreadsheets. In this course, Excel expert Dennis Taylor demystifies some of the most  significant lookup functions. Tune in to learn how to use the new XLOOKUP function, which can handle all the capabilities of the widely used VLOOKUP and HLOOKUP functions, in addition to providing more power and flexibility. Explore uses of the MATCH function and the newer, more robust XMATCH function to match up data, and learn how to extract data using the INDEX function. Discover how to restructure the lists being searched to ensure that you're using each function efficiently, and learn about dynamic array lookup functions like UNIQUE, SORT, SORTBY, and FILTER. Along the way, Dennis shares practical examples that help you grasp how to implement these functions in your workflow.",Course,2023-02-09 12:45 UTC,N/A,false,N/A,
Python Object-Oriented Programming,"The object-oriented programming (OOP) features in Python make it easier to build programs of increasing complexity and modularity. In this course, you can learn how to apply core OOP principles like inheritance and composition along with some Python-specific features like “magic” methods and data classes to build programs that are extensible and efficient. Begin by brushing up on some object-oriented basics, and then use Python features like magic methods to make your classes integrate tightly with the Python language and data classes to dramatically reduce the amount of boilerplate code needed to build data-centric objects.",Course,2020-10-10 04:37 UTC,N/A,false,N/A,
Learning Python Generators (2016),"Generators are a concept unique to Python. They're incredibly helpful if you know how and when to use them. Simply put, generators are the best way to iterate through large and complex data sets. Pythonista Josh McQuiston explains everything you need to know about Python generators, providing examples of generators in action. Learn how to build a basic generator function, use generator expressions and objects, and see how generators work behind the scenes to power context managers and coroutines.",Course,2020-05-02 20:18 UTC,N/A,false,N/A,
What Is Scrum?,"Get a simple answer to a common project management question: What is scrum? This course provides a short, fast-paced introduction to one of the most popular agile frameworks. Explore the roles of the scrum team, from product owner to scrum master; the five core scrum events; the three scrum artifacts that build into project developments; and the reasons behind the widespread adoption of scrum. Instructor Kelley O’Connell provides insights into the secrets of scrum’s success and the reasons it may be the right choice for your organization.",Course,2022-10-04 03:53 UTC,N/A,false,N/A,
Microsoft Excel: Using Solver for Decision Analysis (2017),"Solver—a Microsoft Office Excel add-in—can help you analyze your data more efficiently. In this course, learn how to leverage Solver to find optimal solutions to problems with multiple constraints. Curt Frye explains how to install Solver, organize worksheets to make the data and summary operations clear, and find a solution using Solver. He also takes you through how to optimize investment portfolios by setting rules that limit the risk you're willing to take on, as well as how to change a model's parameters to analyze various scenarios. Plus, Curt shares how to define decision trees, represent a tree in an Excel table, and calculate the probability of reaching a node in your decision tree.",Course,2020-06-01 08:56 UTC,N/A,true,N/A,
SAS Essential Training: 2 Regression Analysis for Healthcare Research,"SAS is a venerable data analytics platform that boasts millions of users worldwide and a slew of useful features. In this course, instructor Monika Wahi helps you deepen your SAS knowledge by showing how to use the platform to conduct a regression analysis of a health survey data center. Throughout the course, Monika demonstrates how to conduct regression analyses and present your model results in tables. She shows how to develop and present a linear regression model using PROC GLM as part of a hypothesis-driven analysis; how to do a logistic regression model in both PROC GENMOD and PROC LOGISTIC; and how to present and interpret your linear and logistic regression models. To wrap up, she goes over issues in regression and provides a few helpful tips.",Course,2020-05-12 20:44 UTC,N/A,false,N/A,
Tableau for Data Scientists,"If your work requires any sort of graphical visualization of data, chances are you’ve run into Tableau. If you’ve been using Tableau but want to learn how to really harness its full power for data science, join expert Matt Francis in this course as he shows you how to take your skills to the next level. Matt starts with one of the most important features in Tableau: the difference between the green and blue pills (discrete and continuous data) and how this affects every single action Tableau performs. He then shows how to connect to and combine data from different data sources, how to create different charts to make sense of data, ways to transform your data with calculations, and how to create interactive maps. Finally, Matt details ways to present data effectively and how to make engaging dashboards. Whether you want to learn more about Tableau as a whole, or if you just want to improve your knowledge of a single subject, this course will help up your Tableau game.",Course,2022-06-10 11:27 UTC,N/A,false,N/A,
Node.js Essential Training (2019),"Node.js is a powerful tool for controlling servers, building web applications, and creating event-driven programs. And it takes JavaScript—a language familiar to all web developers—out of the browser. With Node.js, you can build applications that run on your laptop or even the cloud. In this course, learn the essentials of Node.js and start creating your own JavaScript applications. Instructor Alex Banks acquaints you with all of the basics, showing how to install Node.js and work with the Node.js core, which includes standard input, standard output, the module system, the file system, and how to write and run JavaScript on the server. Upon wrapping up this course, you’ll be equipped with fundamental Node.js concepts and techniques that you can put to use in your next project.",Course,2021-05-29 22:00 UTC,N/A,false,N/A,
Python: Design Patterns (2015),"Design patterns encourage programming efficiency and code reuse. This course is a look at traditional design patterns as applied to Python. Jungwoo Ryoo covers 15 essential creational, structural, and behavioral patterns to help you solve common coding challenges, while introducing best practices that will keep your solutions consistent, complete, and correct.",Course,2020-04-01 08:27 UTC,N/A,false,N/A,
Nail Your Python Interview,"Interviewing for Python programming jobs? In this course, learn what you need to know to ace your next technical interview. Instructor Erin Allard digs into the personal characteristics, nontechnical skills, and programming knowledge you need to demonstrate to land your dream gig as a Python developer. She highlights the personality traits and soft skills—such as collaboration and the ability to understand assumptions—that technical interviewers are looking for. Then, she highlights common steps in the technical interview process and covers the programming concepts you need to be able to implement for interviewers.",Course,2020-05-02 20:20 UTC,N/A,false,N/A,
AR Development Techniques 01: Basic Concepts,"This course, the first in a four-part series, teaches you about the basic techniques of AR application development using Unity and AR Foundation. First, instructor Parth Anand teaches you what augmented reality is, a little bit about its history, and some examples of popular AR apps. He explains the differences among augmented, virtual, and mixed reality, then discusses how AR benefits different industries such as education and architecture. Parth walks you through how to use Unity Hub to download a specific Unity version and install the most important Unity packages, as well as how to set up development environments for iOS and Android. He shows you all the main windows in Unity, then goes into 3D models and their properties. He covers how to create a user interface for your app, how to create simple animations for game objects, how to write a script in Unity, and how to use prefabs. Last, Parth walks you step by step through building your first AR app using Unity and AR Foundation.<br><br>Note: The fourth installment in this series will be released in January 2021.",Course,2022-03-30 00:14 UTC,N/A,true,N/A,
Using SQL with Python,"Are you familiar with SQL? Do you know Python? Are you interested in understanding how these two languages work together? Then join Bill Weinman in this course as he shows the power of these two languages combined. Bill starts with some basics—connecting to a database, performing simple queries, and reading rows from a table. He covers how to use prepared statements and cursors, how to build a wrapper class to streamline the SQL interface and support multiple different database engines, and how to build a CRUD class and a full-featured web application using what you've learned. Many applications require a combination of SQL and Python, and after finishing Bill’s course, you’ll have a better understanding of why and how you can leverage the power of these two languages together.",Course,2022-09-01 15:04 UTC,N/A,false,N/A,
Nano Tips for Negotiating Your Salary with Sho Dewan,"<p>Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this installment, discover the secrets to navigating a successful salary negotiation, with key insights from Sho Dewan, the CEO and founder of Workhap and a LinkedIn Top Voice in Job Search and Careers.</p><p>Learn the essentials of talking about salary so you know what to say when it counts. Find out how to research salaries, work closely with recruiters, share your salary expectations, and consider your compensation package beyond just the numbers. Sho walks you through the three most important things to know before you even start the negotiation, with pointers on how to make a counteroffer that’s fair to you and competitive with the market. Along the way, Sho also tells what to say when you’re ready to ask for a raise.</p>",Course,2022-12-05 17:59 UTC,N/A,false,N/A,
Training Neural Networks in Python (2020),"Having a variety of great tools at your disposal isn’t helpful if you don’t know which one you really need, what each tool is useful for, and how they all work. In this course, take a deep dive into the inner workings of neural networks, so that you're able to work more effectively with machine learning tools. Instructor Eduardo Corpeño helps you learn by example by providing a series of exercises in Python to help you to grasp what’s going on inside. Discover how to relate parts of a biological neuron to Python elements, which allows you to make a model of the brain. Then, learn how to build and train a network, as well as create a neural network that recognizes numbers coming from a seven-segment display. Even though you'll probably work with neural networks from a software suite rather than by writing your own code, the knowledge you’ll acquire in this course can help you choose the right neural network architecture and training method for each problem you face.",Course,2022-06-18 13:02 UTC,N/A,false,N/A,
Statistics Foundations: 2,"Statistics are a core skill for many careers. Basic stats are critical for making decisions, new discoveries, investments, and even predictions. But sometimes you need to move beyond the basics. <em>Statistics Fundamentals – Part 2</em> takes business users and data science mavens into practical, example-based learning of the intermediate skills associated with statistics: samples and sampling, confidence intervals, and hypothesis testing.<br><br>

Eddie Davila first provides a bridge from <em>Part 1</em>, reviewing introductory concepts such as data and probability, and then moves into the topics of sampling, random samples, sample sizes, sampling error and trustworthiness, the central unit theorem, t-distribution, confidence intervals (including explaining unexpected outcomes), and hypothesis testing. This course is a must for those working in data science, business, and business analytics—or anyone else who wants to go beyond means and medians and gain a deeper understanding of how statistics work in the real world.",Course,2020-04-28 16:21 UTC,2020-04-28 12:25 UTC,false,N/A,
Learning Docker (2018),"Docker is the next step beyond virtualization. A Docker image contains everything it needs to run, independent of the Linux server on which it lives: a copy of the operating system, a database, code, configuration files, dependencies, and so on. Images can also be packaged and shared with other Docker admins. Arthur Ulfeldt uses Docker to run complex systems with millions of users and hundreds of containers. Here, he shares his knowledge with you. He introduces the basics of Docker, including its containers, Dockerfiles (or base images), and capabilities for networking, data management, infrastructure optimization, and more. Watch and learn how to build your own containers, as well as how to network and link containers.",Course,2021-05-19 17:34 UTC,N/A,false,N/A,
Power BI Data Modeling with DAX,"Power BI Desktop makes it easy to create basic data models. But if you need to report across time periods—for example, visualize year-over-year growth or compare sales or other data by month or quarter—you need Data Analysis Expressions (DAX). DAX is a language you can use to create formulas for Power BI that extend your data model. In this course, Gini von Courter covers the essentials of working with DAX, sharing best practices for data model design and optimization along the way. Learn how to work with DAX aggregate functions, add calculated columns, create measures, and work with DAX logical and filter functions.",Course,2020-10-25 18:42 UTC,N/A,false,N/A,
Leading Your Team Through Change,"Great leaders help their organization overcome challenges and change course. But change is hard, and anyone managing a team needs a proven playbook to help them rally their employees as they acclimate to new ideas and initiatives. In this course, join Mike Derezin as he highlights frameworks and strategies he employed as a VP at LinkedIn for guiding teams through actionable change. Throughout the course, Mike shares insights gleaned from his own years in leadership, including how to address active resisters (and manage passive ones), take pulse checks, and hold people accountable for making change happen. Upon wrapping up this course, you’ll be better equipped to lead your organization through both large and small changes.",Course,2021-05-15 05:08 UTC,N/A,false,N/A,
pandas for Data Science,"<em>pandas for Data Science</em> is an introduction to one of the hottest new tools available to data science and business analytics specialists. pandas is an open-source library that provides high-performance, easy-to-use data structures and data analysis tools. While Python has excellent capabilities for data manipulation and data preparation, pandas adds data analysis and modeling tools so that users can perform entire data science workflows.<br><br>

Watch this course to gain an overview of pandas. Charles Kelly helps you get started with time series, data frames, panels, plotting, and visualization. All you need is a copy of the free and interactive Jupyter Notebook app to practice and follow along.",Course,2020-04-29 14:42 UTC,N/A,false,N/A,
Power BI Top Skills (2019),"You don’t need a dedicated team to unlock insights into your data. All you need is Power BI. Power BI is a powerful data analytics tool that is streamlining the way business works with data. In this course, instructor John David Ariansen teaches the essential skills you need to analyze data effectively with Power BI. Explore the difference between Power BI Desktop and the Power BI service. Learn key skills, such as importing data, manipulating data, managing relationships, working with Data Analysis Expressions (DAX), and building visualizations and reports. After watching this course, you can feel confident using Power BI for all your business intelligence and reporting needs.<br><br>

This course was created by <a href=""http://www.onlymadecraft.com"" target=""_blank"">Madecraft</a>. We are pleased to host this content in our library.<br><br><img src=""http://files3.lynda.com/files/course_description_images/MadeCraft-Description-Logo.jpg"" height=""25%"" width=""25%"">",Course,2021-01-06 04:45 UTC,N/A,false,N/A,
Python Data Structures:  Trees,"What are trees, in Python, and how do they fit in with other data structures such as linked lists and graphs? In this course, instructor Ryan Mitchell discusses binary search trees (BSTs) and what you can do with them in a real-world context. Ryan shows you how to build a basic tree with just a few lines of Python. She steps through how to search and traverse a tree, as well as how to print a tree to a terminal. Ryan explains how to add nodes to your tree, delete them, and detect unbalanced trees. When you find an unbalanced tree, it’s important to rebalance it. Ryan walks you through rebalancing four types of unbalanced trees. She concludes with a challenge that features smarter automated rebalancing.",Course,2021-04-26 20:55 UTC,N/A,false,N/A,
Power BI Essential Training (2019),"Discover how to quickly glean insights from your data using Power BI. This formidable set of business analytics tools—which includes the Power BI service, Power BI Desktop, and Power BI Mobile—can help you more effectively create and share impactful visualizations with others in your organization. In this course, Gini von Courter helps you get started with this powerful toolset. Gini begins by covering the web-based Power BI service, explaining how to import data, create visualizations, and arrange those visualizations into reports. She discusses how to pin visualizations to dashboards for sharing, as well as how to ask questions about your data with Power BI Q&A. She also provides coverage of Power BI Mobile—explaining how to use it to view and share your data—and shows how to use the data modeling capabilities in Power BI Desktop.",Course,2020-05-24 05:56 UTC,N/A,false,N/A,
